Iteration,Features,NumberFeatures,Accuracy
1,[35],1,83.0
2,"[35, 5]",2,96.86666666666667
3,"[35, 5, 42]",3,96.7
4,"[35, 5, 42, 50]",4,94.26666666666667
5,"[35, 5, 42, 50, 23]",5,91.2
6,"[35, 5, 42, 50, 23, 13]",6,89.06666666666668
7,"[35, 5, 42, 50, 23, 13, 15]",7,86.93333333333332
8,"[35, 5, 42, 50, 23, 13, 15, 26]",8,84.5
9,"[35, 5, 42, 50, 23, 13, 15, 26, 18]",9,82.83333333333334
10,"[35, 5, 42, 50, 23, 13, 15, 26, 18, 24]",10,81.36666666666666
11,"[35, 5, 42, 50, 23, 13, 15, 26, 18, 24, 32]",11,80.0
12,"[35, 5, 42, 50, 23, 13, 15, 26, 18, 24, 32, 25]",12,79.36666666666666
13,"[35, 5, 42, 50, 23, 13, 15, 26, 18, 24, 32, 25, 53]",13,78.7
14,"[35, 5, 42, 50, 23, 13, 15, 26, 18, 24, 32, 25, 53, 22]",14,77.73333333333333
15,"[35, 5, 42, 50, 23, 13, 15, 26, 18, 24, 32, 25, 53, 22, 46]",15,77.36666666666666
16,"[35, 5, 42, 50, 23, 13, 15, 26, 18, 24, 32, 25, 53, 22, 46, 47]",16,77.16666666666666
17,"[35, 5, 42, 50, 23, 13, 15, 26, 18, 24, 32, 25, 53, 22, 46, 47, 7]",17,76.6
18,"[35, 5, 42, 50, 23, 13, 15, 26, 18, 24, 32, 25, 53, 22, 46, 47, 7, 2]",18,76.06666666666668
19,"[35, 5, 42, 50, 23, 13, 15, 26, 18, 24, 32, 25, 53, 22, 46, 47, 7, 2, 56]",19,75.66666666666667
20,"[35, 5, 42, 50, 23, 13, 15, 26, 18, 24, 32, 25, 53, 22, 46, 47, 7, 2, 56, 45]",20,75.43333333333334
21,"[35, 5, 42, 50, 23, 13, 15, 26, 18, 24, 32, 25, 53, 22, 46, 47, 7, 2, 56, 45, 36]",21,75.13333333333333
22,"[35, 5, 42, 50, 23, 13, 15, 26, 18, 24, 32, 25, 53, 22, 46, 47, 7, 2, 56, 45, 36, 49]",22,74.83333333333333
23,"[35, 5, 42, 50, 23, 13, 15, 26, 18, 24, 32, 25, 53, 22, 46, 47, 7, 2, 56, 45, 36, 49, 28]",23,74.63333333333333
24,"[35, 5, 42, 50, 23, 13, 15, 26, 18, 24, 32, 25, 53, 22, 46, 47, 7, 2, 56, 45, 36, 49, 28, 20]",24,74.56666666666666
25,"[35, 5, 42, 50, 23, 13, 15, 26, 18, 24, 32, 25, 53, 22, 46, 47, 7, 2, 56, 45, 36, 49, 28, 20, 19]",25,74.33333333333333
26,"[35, 5, 42, 50, 23, 13, 15, 26, 18, 24, 32, 25, 53, 22, 46, 47, 7, 2, 56, 45, 36, 49, 28, 20, 19, 62]",26,74.66666666666667
27,"[35, 5, 42, 50, 23, 13, 15, 26, 18, 24, 32, 25, 53, 22, 46, 47, 7, 2, 56, 45, 36, 49, 28, 20, 19, 62, 39]",27,74.56666666666666
28,"[35, 5, 42, 50, 23, 13, 15, 26, 18, 24, 32, 25, 53, 22, 46, 47, 7, 2, 56, 45, 36, 49, 28, 20, 19, 62, 39, 40]",28,74.03333333333333
29,"[35, 5, 42, 50, 23, 13, 15, 26, 18, 24, 32, 25, 53, 22, 46, 47, 7, 2, 56, 45, 36, 49, 28, 20, 19, 62, 39, 40, 44]",29,74.43333333333332
30,"[35, 5, 42, 50, 23, 13, 15, 26, 18, 24, 32, 25, 53, 22, 46, 47, 7, 2, 56, 45, 36, 49, 28, 20, 19, 62, 39, 40, 44, 57]",30,74.63333333333333
31,"[35, 5, 42, 50, 23, 13, 15, 26, 18, 24, 32, 25, 53, 22, 46, 47, 7, 2, 56, 45, 36, 49, 28, 20, 19, 62, 39, 40, 44, 57, 43]",31,74.76666666666667
32,"[35, 5, 42, 50, 23, 13, 15, 26, 18, 24, 32, 25, 53, 22, 46, 47, 7, 2, 56, 45, 36, 49, 28, 20, 19, 62, 39, 40, 44, 57, 43, 38]",32,75.1
