Iteration,Features,NumberFeaturesAccuracy
1,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",15,0.78
2,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 15, 16]",14,0.796
3,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 15, 16]",13,0.812
4,"[1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 15, 16]",12,0.818
5,"[1, 2, 4, 7, 8, 9, 10, 11, 12, 15, 16]",11,0.824
6,"[1, 2, 4, 7, 9, 10, 11, 12, 15, 16]",10,0.832
7,"[1, 4, 7, 9, 10, 11, 12, 15, 16]",9,0.83
8,"[1, 4, 9, 10, 11, 12, 15, 16]",8,0.854
9,"[1, 4, 9, 11, 12, 15, 16]",7,0.846
10,"[1, 4, 9, 12, 15, 16]",6,0.868
11,"[1, 4, 9, 12, 15]",5,0.874
12,"[1, 9, 12, 15]",4,0.91
13,"[1, 9, 12]",3,0.936
14,"[9, 12]",2,0.956
15,[9],1,0.82
